,time,value
1,1920-01,40.6
2,1920-02,40.8
3,1920-03,44.4
4,1920-04,46.7
5,1920-05,54.1
6,1920-06,58.5
7,1920-07,57.7
8,1920-08,56.4
9,1920-09,54.3
10,1920-10,50.5
11,1920-11,42.9
12,1920-12,39.8
13,1921-01,44.2
14,1921-02,39.8
15,1921-03,45.1
16,1921-04,47
17,1921-05,54.1
18,1921-06,58.7
19,1921-07,66.3
20,1921-08,59.9
21,1921-09,57
22,1921-10,54.2
23,1921-11,39.7
24,1921-12,42.8
25,1922-01,37.5
26,1922-02,38.7
27,1922-03,39.5
28,1922-04,42.1
29,1922-05,55.7
30,1922-06,57.8
31,1922-07,56.8
32,1922-08,54.3
33,1922-09,54.3
34,1922-10,47.1
35,1922-11,41.8
36,1922-12,41.7
37,1923-01,41.8
38,1923-02,40.1
39,1923-03,42.9
40,1923-04,45.8
41,1923-05,49.2
42,1923-06,52.7
43,1923-07,64.2
44,1923-08,59.6
45,1923-09,54.4
46,1923-10,49.2
47,1923-11,36.3
48,1923-12,37.6
49,1924-01,39.3
50,1924-02,37.5
51,1924-03,38.3
52,1924-04,45.5
53,1924-05,53.2
54,1924-06,57.7
55,1924-07,60.8
56,1924-08,58.2
57,1924-09,56.4
58,1924-10,49.8
59,1924-11,44.4
60,1924-12,43.6
61,1925-01,40
62,1925-02,40.5
63,1925-03,40.8
64,1925-04,45.1
65,1925-05,53.8
66,1925-06,59.4
67,1925-07,63.5
68,1925-08,61
69,1925-09,53
70,1925-10,50
71,1925-11,38.1
72,1925-12,36.3
73,1926-01,39.2
74,1926-02,43.4
75,1926-03,43.4
76,1926-04,48.9
77,1926-05,50.6
78,1926-06,56.8
79,1926-07,62.5
80,1926-08,62
81,1926-09,57.5
82,1926-10,46.7
83,1926-11,41.6
84,1926-12,39.8
85,1927-01,39.4
86,1927-02,38.5
87,1927-03,45.3
88,1927-04,47.1
89,1927-05,51.7
90,1927-06,55
91,1927-07,60.4
92,1927-08,60.5
93,1927-09,54.7
94,1927-10,50.3
95,1927-11,42.3
96,1927-12,35.2
97,1928-01,40.8
98,1928-02,41.1
99,1928-03,42.8
100,1928-04,47.3
101,1928-05,50.9
102,1928-06,56.4
103,1928-07,62.2
104,1928-08,60.5
105,1928-09,55.4
106,1928-10,50.2
107,1928-11,43
108,1928-12,37.3
109,1929-01,34.8
110,1929-02,31.3
111,1929-03,41
112,1929-04,43.9
113,1929-05,53.1
114,1929-06,56.9
115,1929-07,62.5
116,1929-08,60.3
117,1929-09,59.8
118,1929-10,49.2
119,1929-11,42.9
120,1929-12,41.9
121,1930-01,41.6
122,1930-02,37.1
123,1930-03,41.2
124,1930-04,46.9
125,1930-05,51.2
126,1930-06,60.4
127,1930-07,60.1
128,1930-08,61.6
129,1930-09,57
130,1930-10,50.9
131,1930-11,43
132,1930-12,38.8
133,1931-01,37.1
134,1931-02,38.4
135,1931-03,38.4
136,1931-04,46.5
137,1931-05,53.5
138,1931-06,58.4
139,1931-07,60.6
140,1931-08,58.2
141,1931-09,53.8
142,1931-10,46.6
143,1931-11,45.5
144,1931-12,40.6
145,1932-01,42.4
146,1932-02,38.4
147,1932-03,40.3
148,1932-04,44.6
149,1932-05,50.9
150,1932-06,57
151,1932-07,62.1
152,1932-08,63.5
153,1932-09,56.3
154,1932-10,47.3
155,1932-11,43.6
156,1932-12,41.8
157,1933-01,36.2
158,1933-02,39.3
159,1933-03,44.5
160,1933-04,48.7
161,1933-05,54.2
162,1933-06,60.8
163,1933-07,65.5
164,1933-08,64.9
165,1933-09,60.1
166,1933-10,50.2
167,1933-11,42.1
168,1933-12,35.8
169,1934-01,39.4
170,1934-02,38.2
171,1934-03,40.4
172,1934-04,46.9
173,1934-05,53.4
174,1934-06,59.6
175,1934-07,66.5
176,1934-08,60.4
177,1934-09,59.2
178,1934-10,51.2
179,1934-11,42.8
180,1934-12,45.8
181,1935-01,40
182,1935-02,42.6
183,1935-03,43.5
184,1935-04,47.1
185,1935-05,50
186,1935-06,60.5
187,1935-07,64.6
188,1935-08,64
189,1935-09,56.8
190,1935-10,48.6
191,1935-11,44.2
192,1935-12,36.4
193,1936-01,37.3
194,1936-02,35
195,1936-03,44
196,1936-04,43.9
197,1936-05,52.7
198,1936-06,58.6
199,1936-07,60
200,1936-08,61.1
201,1936-09,58.1
202,1936-10,49.6
203,1936-11,41.6
204,1936-12,41.3
205,1937-01,40.8
206,1937-02,41
207,1937-03,38.4
208,1937-04,47.4
209,1937-05,54.1
210,1937-06,58.6
211,1937-07,61.4
212,1937-08,61.8
213,1937-09,56.3
214,1937-10,50.9
215,1937-11,41.4
216,1937-12,37.1
217,1938-01,42.1
218,1938-02,41.2
219,1938-03,47.3
220,1938-04,46.6
221,1938-05,52.4
222,1938-06,59
223,1938-07,59.6
224,1938-08,60.4
225,1938-09,57
226,1938-10,50.7
227,1938-11,47.8
228,1938-12,39.2
229,1939-01,39.4
230,1939-02,40.9
231,1939-03,42.4
232,1939-04,47.8
233,1939-05,52.4
234,1939-06,58
235,1939-07,60.7
236,1939-08,61.8
237,1939-09,58.2
238,1939-10,46.7
239,1939-11,46.6
240,1939-12,37.8
